Job Title,Date Posted,Location,Department,Language Req,Direct Link,Status,DeleteCounter
Werkstudent (m/w/d) Teilelogistik,N/A,Sachsenheim,Porsche Logistik GmbH,Not specified,https://jobs.porsche.com/index.php?ac=jobad&id=13411,Active,0
Werkstudent (m/w/d) technische Berufsausbildung,N/A,N/A,N/A,Not specified,https://jobs.porsche.com/index.php?ac=jobad&id=19639,Active,0
Werkstudent (m/w/d) Lernmanagement,N/A,N/A,N/A,English,https://jobs.porsche.com/index.php?ac=jobad&id=20857,New,0
Werkstudent Kundenempfang (m/w/d),N/A,Stuttgart,Porsche Niederlassung Stuttgart GmbH,Not specified,https://jobs.porsche.com/index.php?ac=jobad&id=6040,Active,0
Werkstudent Vertriebsassistenz (m/w/d),N/A,N/A,N/A,Not specified,https://jobs.porsche.com/index.php?ac=jobad&id=19779,Active,0
Werkstudent (m/w/d) Styling/Design - Projekte,N/A,Weissach,Dr. Ing. h.c. F. Porsche AG,English,https://jobs.porsche.com/index.php?ac=jobad&id=20847,Active,0
Werkstudent im Portfolio Management (f/m/d),N/A,"Ludwigsburg, Wolfsburg, München",MHP - A Porsche Company,Not specified,https://jobs.porsche.com/index.php?ac=jobad&id=19709,Active,0
Werkstudent (m/w/d) Global Sales & Receivables Accounting,N/A,N/A,N/A,Not specified,https://jobs.porsche.com/index.php?ac=jobad&id=20730,Active,0
Werkstudent (m/w/d) im Bereich Software-Applikation & Diagnose,N/A,N/A,N/A,Not specified,https://jobs.porsche.com/index.php?ac=jobad&id=20735,Active,0
Werkstudent (m/w/d) Logistikplanung mit Schwerpunkt Verpackungsplanung,N/A,N/A,N/A,Not specified,https://jobs.porsche.com/index.php?ac=jobad&id=20379,Active,0
Working Student - Mechanical Engineer (f/m/d),N/A,N/A,N/A,English,https://jobs.porsche.com/index.php?ac=jobad&id=20474,Deleted,1
Werkstudent (m/w/d) Potfolio & Product Management,N/A,N/A,N/A,Not specified,https://jobs.porsche.com/index.php?ac=jobad&id=20790,Deleted,1
Werkstudent (m/w/d) Projektmanagement Bauprojekte,N/A,N/A,N/A,Not specified,https://jobs.porsche.com/index.php?ac=jobad&id=20728,Deleted,2
