Job Title,Date Posted,Location,Department,Language Req,Direct Link,Status,DeleteCounter
Intern Innovation Experience Technologist - R&D Center Europe (m/f/d),N/A,"Unterföhring (bei München), Germany, 85774",Data & AI,Not specified,https://careers.allianz.com/global/en/job/95718/Intern-Innovation-Experience-Technologist-R-D-Center-Europe-m-f-d,New,0
Intern Software Developer (f/m/d),N/A,"München, Germany, 80335",IT & Tech Engineering,English,https://careers.allianz.com/global/en/job/99715/Intern-Software-Developer-f-m-d,New,0
Ausbildung 2026 - Duales Studium Informatik (m/w/d),N/A,"Unterföhring (bei München), Germany, 85774",Operations,English,https://careers.allianz.com/global/en/job/76546/Ausbildung-2026-Duales-Studium-Informatik-m-w-d,New,0
Working student (m/f/d) - Allianz Consulting - IT Solutions & Management,N/A,"Unterföhring (bei München), Germany, 85774",Inhouse Consulting,"English, German",https://careers.allianz.com/global/en/job/94019/Working-student-m-f-d-Allianz-Consulting-IT-Solutions-Management,New,0
Ausbildung 2026 - Duales Studium Wirtschaftsinformatik (m/w/d),N/A,"Stuttgart, Germany, 70565",Operations,English,https://careers.allianz.com/global/en/job/76632/Ausbildung-2026-Duales-Studium-Wirtschaftsinformatik-m-w-d,New,0
Intern (m/f/d) in Strategic Project Management and Business Development,N/A,"München, Germany, 80802",Project Management,"English, German",https://careers.allianz.com/global/en/job/80803/Intern-m-f-d-in-Strategic-Project-Management-and-Business-Development,New,0
Working Student - AI Prototyping & Content Coaching (m/f/d),N/A,"Unterföhring (bei München), Germany, 85774",IT & Tech Engineering,Not specified,https://careers.allianz.com/global/en/job/98190/Working-Student-AI-Prototyping-Content-Coaching-m-f-d,New,0
Werkstudent - Baufachlicher Schadenmanager für versicherte Gebäudeschäden (m/w/d),N/A,"Frankfurt, Germany, 60528",Operations,"English, German",https://careers.allianz.com/global/en/job/97051/Werkstudent-Baufachlicher-Schadenmanager-für-versicherte-Gebäudeschäden-m-w-d,New,0
Ausbildungsintegriertes Studium Finanzwirtschaft mit Schwerpunkt Versicherungsmanagement (m/w/d),N/A,"Hamburg, Germany, 22297",Operations,English,https://careers.allianz.com/global/en/job/76328/Ausbildungsintegriertes-Studium-Finanzwirtschaft-mit-Schwerpunkt-Versicherungsmanagement-m-w-d,New,0
Working Student - Marketing & Communications (m/f/d),Appointment date: 1. September 2026,"München, Germany, 80335",Marketing & Design,English,https://careers.allianz.com/global/en/job/98372/Working-Student-Marketing-Communications-m-f-d,New,0
"Intern (m/f/d) - Allianz Services - Legal, Data Privacy and AI Governance",N/A,"Unterföhring (bei München), Germany, 85774",Legal & Compliance,English,https://careers.allianz.com/global/en/job/91535/Intern-m-f-d-Allianz-Services-Legal-Data-Privacy-and-AI-Governance,New,0
Working Student in Graphic Design (m/f/d),N/A,"Unterföhring (bei München), Germany, 85774",IT & Tech Engineering,Not specified,https://careers.allianz.com/global/en/job/98184/Working-Student-in-Graphic-Design-m-f-d,New,0
Working student in the Regional Finance Department (m/f/d),N/A,"Unterföhring (bei München), Germany, 85774",Finance & Accounting,Not specified,https://careers.allianz.com/global/en/job/99638/Working-student-in-the-Regional-Finance-Department-m-f-d,New,0
Working Student C.AI (m/f/x),N/A,"München, Germany, 81677",IT & Tech Engineering,Not specified,https://careers.allianz.com/global/en/job/99749/Working-Student-C-AI-m-f-x,New,0
Werkstudent im Bereich Kraft Schaden (m/w/d),N/A,"Frankfurt, Germany, 60596",Customer Services & Claims,German,https://careers.allianz.com/global/en/job/99983/Werkstudent-im-Bereich-Kraft-Schaden-m-w-d,New,0
Dualer Master Student im HR IT Bereich agiles Changemanagement und Prozessoptimierungen (m/w/d),N/A,"Unterföhring (bei München), Germany, 85774",Operations,"English, German",https://careers.allianz.com/global/en/job/99717/Dualer-Master-Student-im-HR-IT-Bereich-agiles-Changemanagement-und-Prozessoptimierungen-m-w-d,New,0
Intern (m/f/d) - Allianz Consulting - AI Enabled Project Management,N/A,"Unterföhring (bei München), Germany, 85774",Inhouse Consulting,"English, German",https://careers.allianz.com/global/en/job/97623/Intern-m-f-d-Allianz-Consulting-AI-Enabled-Project-Management,New,0
Intern (m/f/d) - Climate Economics (two positions),N/A,"München, Germany, 80802",Asset & Investment Management,"English, German",https://careers.allianz.com/global/en/job/99544/Intern-m-f-d-Climate-Economics-two-positions,New,0
Working Student - Organizational Resilience & People Services DE (f/m/d),N/A,"Frankfurt, Germany, 60323",Human Resources,"English, German",https://careers.allianz.com/global/en/job/98884/Working-Student-Organizational-Resilience-People-Services-DE-f-m-d,New,0
Ausbildung 2026 - Duales Studium Risk and Insurance Management (m/w/d),N/A,"Köln, Germany, 50672",Operations,English,https://careers.allianz.com/global/en/job/76337/Ausbildung-2026-Duales-Studium-Risk-and-Insurance-Management-m-w-d,New,0
Underwriting data intern,N/A,"Frankfurt, Germany, 60323",Operations,English,https://careers.allianz.com/global/en/job/93792/Underwriting-data-intern,New,0
Intern (m/f/d) in Group Economics Research (two positions),N/A,"München, Germany, 80802",Asset & Investment Management,"English, German",https://careers.allianz.com/global/en/job/99225/Intern-m-f-d-in-Group-Economics-Research-two-positions,New,0
Working Student - AI Product Management Assistant (m/f/d),N/A,"Unterföhring (bei München), Germany, 85774",IT & Tech Engineering,Not specified,https://careers.allianz.com/global/en/job/98187/Working-Student-AI-Product-Management-Assistant-m-f-d,New,0
Ausbildungsintegriertes Studium BWL mit Versicherungswirtschaft (m/w/d),N/A,"Hannover, Germany, 30159",Operations,English,https://careers.allianz.com/global/en/job/76331/Ausbildungsintegriertes-Studium-BWL-mit-Versicherungswirtschaft-m-w-d,New,0
